"Coarse
Aggregate (°lo)","Bitumen
(/J/70 (%)","Bitumen
PMB [(%)",Cellulose Fibers(%),"MS
(kN)","MF
(mm)","MQ
CkN/mml"
76.1,5.4,0.0,0.0,6.449,2.9,2.224
76.1,6.0,0.0,0.0,6.531,3.55,1.839
76.1,6.2,0.0,0.0,6.7,3.61,1.821
76.1,6.5,0.0,0.0,6.55,3.97,1.65
76.1,7.0,0.0,0.0,6.4,4.65,1.376
76.1,5.4,0.0,0.2,7.35,2.72,2.702
76.1,6.0,0.0,0.2,7.51,2.831,2.654
76.1,6.2,0.0,0.2,7.76,2.91,2.667
76.1,6.5,0.0,0.2,7.84,2.96,2.649
76.1,7.0,0.0,0.2,7.09,3.44,2.061
76.1,5.4,0.0,0.3,7.799,2.633,2.962
76.1,6.0,0.0,0.3,7.97,2.721,2.929
76.1,6.2,0.0,0.3,8.24,2.86,2.881
76.1,6.5,0.0,0.3,8.42,2.907,2.896
76.1,7.0,0.0,0.3,7.56,3.36,2.25
76.1,5.4,0.0,0.5,7.22,2.7,2.674
76.1,6.0,0.0,0.5,7.31,2.79,2.645
76.1,6.2,0.0,0.5,7.631,2.931,2.604
76.1,6.5,0.0,0.5,7.79,0.291,2.614
76.1,7.0,0.0,0.5,7.0,3.44,2.035
71.17,0.0,5.5,0.0,8.95,2.82,3.174
71.17,0.0,6.0,0.0,9.064,3.15,2.878
71.17,0.0,6.5,0.0,9.324,3.431,2.718
71.17,0.0,7.0,0.0,8.901,3.51,2.486
71.17,0.0,7.5,0.0,8.601,3.85,2.234
71.17,0.0,5.5,0.2,9.088,3.031,2.999
71.17,0.0,6.0,0.2,9.361,3.11,3.01
71.17,0.0,6.5,0.2,8.976,3.231,2.779
71.17,0.0,7.0,0.2,8.604,3.31,2.546
71.17,0.0,7.5,0.2,8.505,3.65,2.331
71.17,0.0,5.5,0.3,9.471,3.11,2.978
71.17,0.0,6.0,0.3,10.595,3.21,3.301
71.17,0.0,6.5,0.3,11.318,3.21,3.451
71.17,0.0,7.0,0.3,9.011,3.531,2.553
71.17,0.0,7.5,0.3,7.999,3.65,2.192
71.17,0.0,5.5,0.5,8.955,3.26,2.747
71.17,0.0,6.0,0.5,8.994,3.31,2.717
71.17,0.0,6.5,0.5,9.326,3.431,2.719
71.17,0.0,7.0,0.5,8.904,3.47,2.566
71.17,0.0,7.5,0.5,8.605,3.71,2.276
74.2,5.7,0.0,0.0,6.52,3.22,2.025
74.2,6.0,0.0,0.0,6.86,3.41,1.971
74.2,6.3,0.0,0.0,7.1,3.55,2.0
74.2,6.6,0.0,0.0,6.731,3.79,1.776
74.2,6.9,0.0,0.0,6.51,4.5,1.462
74.2,5.7,0.0,0.2,7.45,2.7,2.759
74.2,6.0,0.0,0.2,7.631,2.82,2.706
74.2,6.3,0.0,0.2,7.89,2.88,2.74
74.2,6.6,0.0,0.2,7.85,2.931,2.679
74.2,6.9,0.0,0.2,7.21,3.4,2.121
74.2,5.7,0.0,0.3,7.94,2.55,3.114
74.2,6.0,0.0,0.3,8.19,2.8,2.925
74.2,6.3,0.0,0.3,8.46,2.87,2.948
74.2,6.6,0.0,0.3,8.31,2.94,2.827
74.2,6.9,0.0,0.3,7.88,3.35,2.352
74.2,5.7,0.0,0.5,7.1,2.68,2.649
74.2,6.0,0.0,0.5,7.46,2.74,2.723
74.2,6.3,0.0,0.5,7.74,2.81,2.754
74.2,6.6,0.0,0.5,7.67,2.9,2.645
74.2,6.9,0.0,0.5,7.22,3.34,2.162
